[2019-03-26 13:28:12,212] [etl_manager.py:58] INFO - Downloading file from http://files.grouplens.org/datasets/movielens/ml-20m-youtube.zip
[2019-03-26 13:28:14,718] [etl_manager.py:43] INFO - Unzipping file from: /spark_etl/data/ml-20m-youtube.zip
[2019-03-26 13:28:14,733] [etl_manager.py:62] INFO - Downloading file http://files.grouplens.org/datasets/movielens/ml-10m.zip
[2019-03-26 13:28:26,247] [etl_manager.py:43] INFO - Unzipping file from: /spark_etl/data/ml-10m.zip
[2019-03-26 13:28:28,050] [etl_manager.py:34] INFO - Initialised database check/ creation
[2019-03-27 04:48:42,293] [etl_manager.py:60] INFO - Downloading file from http://files.grouplens.org/datasets/movielens/ml-20m-youtube.zip
[2019-03-27 04:48:44,951] [etl_manager.py:45] INFO - Unzipping file from: /spark_etl/data/ml-20m-youtube.zip
[2019-03-27 04:48:44,966] [etl_manager.py:64] INFO - Downloading file http://files.grouplens.org/datasets/movielens/ml-10m.zip
[2019-03-27 04:48:56,618] [etl_manager.py:45] INFO - Unzipping file from: /spark_etl/data/ml-10m.zip
[2019-03-27 04:48:58,449] [etl_manager.py:35] INFO - Initialised database check/ creation
[2019-03-27 04:48:59,032] [database_setup.py:31] INFO - check/ create t_movie_category done
[2023-11-01 11:12:31,766] [etl_manager.py:60] INFO - Downloading file from http://files.grouplens.org/datasets/movielens/ml-20m-youtube.zip
[2023-11-01 11:12:33,085] [etl_manager.py:45] INFO - Unzipping file from: /spark_etl/data/ml-20m-youtube.zip
[2023-11-01 11:12:33,289] [etl_manager.py:64] INFO - Downloading file http://files.grouplens.org/datasets/movielens/ml-10m.zip
[2023-11-01 11:12:44,469] [etl_manager.py:45] INFO - Unzipping file from: /spark_etl/data/ml-10m.zip
[2023-11-01 11:13:05,480] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-01 11:13:05,740] [database_setup.py:31] INFO - check/ create t_movie_category done
[2023-11-01 15:40:00,859] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-01 15:40:00,951] [database_setup.py:34] INFO - check/ create product done
[2023-11-01 15:40:00,972] [database_setup.py:48] INFO - check/ create product_variation done
[2023-11-01 15:40:00,999] [database_setup.py:58] INFO - check/ create customers done
[2023-11-01 15:40:01,016] [database_setup.py:71] INFO - check/ create cart done
[2023-11-01 15:40:45,707] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-01 15:40:45,709] [database_setup.py:34] INFO - check/ create product done
[2023-11-01 15:40:45,710] [database_setup.py:48] INFO - check/ create product_variation done
[2023-11-01 15:40:45,712] [database_setup.py:58] INFO - check/ create customers done
[2023-11-01 15:40:45,713] [database_setup.py:71] INFO - check/ create cart done
[2023-11-01 16:19:43,246] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-01 16:19:43,257] [database_setup.py:58] INFO - check/ create product done
[2023-11-01 16:19:43,259] [database_setup.py:61] INFO - check/ create product_variation done
[2023-11-01 16:19:43,264] [database_setup.py:64] INFO - check/ create customers done
